"country","2018","2016","2014","Continent"
Mauritius,0.880,0.830,0.588,Africa
Kenya,0.748,0.574,0.412,Africa
United States of America,0.926,0.919,0.824,North America
Canada,0.892,0.818,0.794,North America
Brazil,0.577,0.593,0.706,South America
Uruguay,0.681,0.647,0.618,South America
Saudi Arabia,0.881,0.569,0.294,Middle East
Iran,0.641,0.494,0.294,Middle East
Israel,0.783,0.691,0.676,Middle East
Singapore,0.898,0.925,0.676,Asia
Australia,0.890,0.824,0.765,Australia
China,0.828,0.624,0.441,Asia
Russian Federation,0.836,0.788,0.5,Former USSR
Georgia,0.857,0.819,0.5,Former USSR
Ukraine,0.661,0.501,0.353,Former USSR
United Kingdom,0.931,0.783,0.706,Europe
France,0.918,0.819,0.588,Europe
Germany,0.849,0.679,0.706,Europe
Estonia,0.905,0.846,0.706,Europe
Malaysia,0.893,0.893,0.765,Asia
