,country,year,score,Continent
2,United States of America,2018,0.9259999999999999,North America
7,Iran,2018,0.6409999999999999,Middle East
8,Israel,2018,0.7829999999999999,Middle East
9,Singapore,2018,0.898,Asia
11,China,2018,0.828,Asia
12,Russian Federation,2018,0.836,Former USSR
14,Ukraine,2018,0.6609999999999999,Former USSR
15,United Kingdom,2018,0.9309999999999999,Europe
22,United States of America,2016,0.919,North America
27,Iran,2016,0.494,Middle East
28,Israel,2016,0.691,Middle East
29,Singapore,2016,0.925,Asia
31,China,2016,0.624,Asia
32,Russian Federation,2016,0.7879999999999999,Former USSR
34,Ukraine,2016,0.501,Former USSR
35,United Kingdom,2016,0.7829999999999999,Europe
42,United States of America,2014,0.8240000000000001,North America
47,Iran,2014,0.294,Middle East
48,Israel,2014,0.6759999999999999,Middle East
49,Singapore,2014,0.6759999999999999,Asia
51,China,2014,0.441,Asia
52,Russian Federation,2014,0.5,Former USSR
54,Ukraine,2014,0.353,Former USSR
55,United Kingdom,2014,0.706,Europe
